Id,BankId,Afid,DivisionName,SubstationName,BankName,CircuitName,LastChangedBy,DateRevised,CedsaId,CORRECTED CEDSA ID,OperatingVoltageId,SummerLoadFactorId,WinterLoadFactorId,LocationId,SummerNormalOperationalCapabilityAmps,SummerNormalOperationalCapabilityMva,SummerNormalOperationalCapabilityMw,SummerNormalPlanningCapabilityAmps,SummerNormalPlanningCapabilityMva,SummerNormalPlanningCapabilityMw,SummerEmergencyOperationalCapabilityAmps,SummerEmergencyOperationalCapabilityMva,SummerEmergencyOperationalCapabilityMw,SummerEmergencyPlanningCapabilityAmps,SummerEmergencyPlanningCapabilityMva,SummerEmergencyPlanningCapabilityMw,WinterNormalOperationalCapabilityAmps,WinterNormalOperationalCapabilityMva,WinterNormalOperationalCapabilityMw,WinterNormalPlanningCapabilityAmps,WinterNormalPlanningCapabilityMva,WinterNormalPlanningCapabilityMw,WinterEmergencyOperationalCapabilityAmps,WinterEmergencyOperationalCapabilityMva,WinterEmergencyOperationalCapabilityMw,WinterEmergencyPlanningCapabilityAmps,WinterEmergencyPlanningCapabilityMva,WinterEmergencyPlanningCapabilityMw,Notes,TransformerNotes,TransformerDerate,TransformerPlo,TransformerSummerNormalAmps,TransformerSummerEmergencyAmps,TransformerWinterNormalAmps,TransformerWinterEmergencyAmps,DmsGuid
7,1016,{A4EDE244-78EA-11E5-8C7B-9CB70D532D7F},LOS PADRES,SAN LUIS OBISPO,Bank 6,CB 1104,PGE\A9S5,2016-11-11 10:45:08.1767984 -08:00,182631104,182631104,8,3,3,2,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,,,FALSE,FALSE,2061,2680,2474,3092,{E826CD21-981A-4BD7-97F3-AE003873C3D1}
8,1018,{A8F9ABC3-671D-11E5-80CA-005056A729E5},FRESNO,AIRWAYS,Bank 1,CB 1101,PGE\JJV7,2017-05-01 08:17:45.4738900 -07:00,2520401101,252041101,8,3,3,1,550,12,11.88,512,11.17,11.06,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,"Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",,FALSE,FALSE,2061,2680,2474,3092,{6D8A614F-E0C1-41AB-80C0-5E683AC20EB4}
11,1018,{A8F9ABCB-671D-11E5-80CA-005056A729E5},FRESNO,AIRWAYS,Bank 1,CB 1102,PGE\JJV7,2017-05-01 08:18:24.0534319 -07:00,2520401102,252041102,8,3,3,1,550,12,11.88,512,11.17,11.06,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,"Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",,FALSE,FALSE,2061,2680,2474,3092,{86E3F6A4-99E6-41FA-9EDD-9BE3EDA628E2}
12,1018,{A8F9ABDF-671D-11E5-80CA-005056A729E5},FRESNO,AIRWAYS,Bank 1,CB 1103,PGE\JJV7,2016-12-22 13:37:13.9309631 -08:00,2520401103,252041103,8,3,3,1,578,12.61,12.48,578,12.61,12.48,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,"Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",,FALSE,FALSE,2061,2680,2474,3092,{88CA398B-BC77-4F83-B2AA-5577A2D396D2}
13,1018,{2717D59C-A5BE-11E5-A1F0-D4BED91EFF1A},FRESNO,AIRWAYS,Bank 1,CB 1104,PGE\JJV7,2016-12-22 15:55:34.5859800 -08:00,252041104,252041104,8,3,3,1,578,12.61,12.48,578,12.61,12.48,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,"FUTURE- Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",,FALSE,FALSE,2061,2680,2474,3092,{04A1F419-E45C-4D29-B0AD-674C4E00E809}
14,1015,{E1A5F49B-78E8-11E5-8C7B-9CB70D532D7F},CENTRAL COAST,GABILAN,Bank 1,CB 1101,PGE\ACT0,2016-11-23 10:37:37.4720437 -08:00,1823301101,182331101,8,3,2,2,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,,,FALSE,FALSE,733,953,879,962,{B8F10DCD-E4C2-4631-970E-C3777FD64EC0}
15,1019,{A8F9ABF9-671D-11E5-80CA-005056A729E5},FRESNO,AIRWAYS,Bank 2,CB 1105,PGE\JJV7,2017-05-01 08:18:59.4661129 -07:00,2520401105,252041105,8,3,3,1,550,12,11.88,512,11.17,11.06,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,550,12,11.88,"Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",,FALSE,FALSE,2061,2680,2474,3092,{737BD670-18A2-44A9-9C99-F7F3D2C72817}
16,1019,{A8F9ABFE-671D-11E5-80CA-005056A729E5},FRESNO,AIRWAYS,Bank 2,CB 1106,PGE\JJV7,2016-12-22 15:31:38.1940732 -08:00,2520401106,252041106,8,3,3,1,578,12.61,12.48,578,12.61,12.48,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,"Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",,FALSE,FALSE,2061,2680,2474,3092,{65465FB0-52BF-4387-AFF8-1D4396BF5EF9}
17,1019,{2717D5A1-A5BE-11E5-A1F0-D4BED91EFF1A},FRESNO,AIRWAYS,Bank 2,CB 1107,PGE\JJV7,2016-12-22 15:54:42.4033110 -08:00,252041107,252041107,8,3,3,1,578,12.61,12.48,578,12.61,12.48,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,"Future - Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",This is an idle breaker not online yet,FALSE,FALSE,2061,2680,2474,3092,{7297A148-6CA1-4760-8B72-5E8D6763A4CA}
18,1019,{2717D5A4-A5BE-11E5-A1F0-D4BED91EFF1A},FRESNO,AIRWAYS,Bank 2,CB 1108,PGE\JJV7,2016-12-22 15:54:56.0222856 -08:00,2520401108,252041108,8,3,3,1,578,12.61,12.48,578,12.61,12.48,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,"In construction 2016  
Note 1: Phase relay / 1.2 or phase relay - 50 amps, whichever is less.  See Protection Bulletin 6-3, p.19.				
Note 2: Capability x .95 to account for phase unbalance if limiting factor is OH conductor, switches, disconnects, CT's, or VCB'S. See Engr. Std. Drw. 050864.",,FALSE,FALSE,2061,2680,2474,3092,{A643F6F4-EF8F-460F-A7B0-C830E9905CFC}
