SUBSTATION,NETWORK ID,DEVICE TYPE,CIRCUIT BREAKER,GLOBAL_ID
10132,101321101,CIRCUIT BREAKER,PIT NO 5_1101/2,CD2D4189-3AD7-41DF-A916-2D6459D827CB
10202,102021101,CIRCUIT BREAKER,CENTERVILLE_1101/2,186D604F-FA51-4C49-8FD4-C29EDA9760E7
10204,102041102,CIRCUIT BREAKER,NOTRE DAME_1102/2/NORM,12A6B669-BE95-4938-B83B-0D980029E11A
10204,102041103,CIRCUIT BREAKER,NOTRE DAME_1103/2/NORM,9A2617A3-8D8A-4F13-802F-7F69B751A277
10204,102041101,CIRCUIT BREAKER,NOTRE DAME_1101/2/NORM,F9629064-CC06-42C8-93C8-391A5D007114
10204,102041104,CIRCUIT BREAKER,NOTRE DAME_1104/2/NORM,EA939975-CDEC-4898-A6E9-D8C6EBE09535
10205,102050401,CIRCUIT BREAKER,CHICO A_401/2,EA5502A3-27DF-4839-9C1D-45B8BF31076C
10205,102051101,CIRCUIT BREAKER,CHICO A_1101/2,6398CC69-F5D8-41BC-9FF4-FBAF9FB55BBD
10205,102050402,CIRCUIT BREAKER,CHICO A_402/2,0AEB724E-8454-4F40-8640-F64A705002E2
10205,102051102,CIRCUIT BREAKER,CHICO A_1102/2,119DAB36-1354-48B1-AD5F-5B99212A71DC
10205,102051103,CIRCUIT BREAKER,CHICO A_1103/2,BBFD28E3-3E41-4550-BF10-8565F081EC88
10211,102111102,CIRCUIT BREAKER,CAPAY_1102/2,2B71F0EC-9A50-458F-844B-71EEBBA50DEA
10211,102111101,CIRCUIT BREAKER,CAPAY_1101/2,3FEBB21A-2EC9-4E26-88DD-1E11A493BD4B
10212,102121101,CIRCUIT BREAKER,HAMILTON A_1101/2,FB2016CE-0976-4696-B3CB-891D5E659791
10212,102121102,CIRCUIT BREAKER,HAMILTON A_1102/2,9A1F9D18-3CDB-4809-A37B-E4FBF06B2D86
10217,102171101,CIRCUIT BREAKER,ESQUON_1101/2,26A8FA4B-F65E-4A9E-BA72-8FEC7ADE4B71
10217,102171102,CIRCUIT BREAKER,ESQUON_1102/2,6F9A6503-9C43-4BF4-B1D3-4ABA71CF07D2
10217,102171103,CIRCUIT BREAKER,ESQUON_1103/2,6F7E732F-FA44-4B9C-8232-372CB692D3E8
10236,102361101,CIRCUIT BREAKER,HAMILTON BRANCH_1101/2,0D479004-4416-4453-AF8E-C93F2F2A023B
10249,102491101,CIRCUIT BREAKER,CHICO B_1101/2,703973CB-3ADA-4032-A66E-3B85E22AC01B
10249,102491102,CIRCUIT BREAKER,CHICO B_1102/2,C2A5A305-8747-4506-B2E7-63CB91BDC850
10249,102491105,CIRCUIT BREAKER,CHICO B_1105/2,2B187C29-A10C-4580-AC89-4743A35C8CD5
10249,102491103,CIRCUIT BREAKER,CHICO B_1103/2,15DF1019-F677-41DE-A522-5474DE499C96
10249,102491106,CIRCUIT BREAKER,CHICO B_1106/2,7F2C1BE5-D4FA-4ABD-8B1C-D50B340C4C20
10252,102520403,CIRCUIT BREAKER,OROVILLE_403/2,26B38FB7-408A-4B48-8936-91277E2D71E6
10252,102521103,CIRCUIT BREAKER,OROVILLE_1103/2,0DAF5302-B91F-45EF-B95F-12AE8F090F32
10252,102521101,CIRCUIT BREAKER,OROVILLE_1101/2,B84CCA5D-4C72-4C5F-9326-05EAFD95825F
10252,102521104,CIRCUIT BREAKER,OROVILLE_1104/2,906AFA3B-7B8E-4A78-89EC-9E1676195AA5
10252,102520402,CIRCUIT BREAKER,OROVILLE_402/2,1D8D00C0-087A-4B5C-B25E-2DF654686820
10252,102521102,CIRCUIT BREAKER,OROVILLE_1102/2,F4411DC9-FE91-4844-BFD6-40EB58FB4FFD
10253,102530401,CIRCUIT BREAKER,GRAYS FLAT_401/2,3F1FE3F3-B4F9-4BB8-9897-208DAE55A4E2
10254,102541101,CIRCUIT BREAKER,VOLTA_1101/2,DB8FE147-B133-4BF3-9CE3-302B65840A75
10254,102541102,CIRCUIT BREAKER,VOLTA_1102/2,6EF0AAAB-3AB4-4F4A-9AF9-719B66B8EDDD
10255,102551101,CIRCUIT BREAKER,EAST QUINCY_1101/2,01BFE66A-FA89-43A6-AE3E-DBADBC13FFD2
10260,102601101,CIRCUIT BREAKER,GLENN_1101/2,5D86E4B4-D5DF-4E0C-B9B2-CF8377051BD1
10265,102650401,CIRCUIT BREAKER,CHICO C_401/2,BED0777E-85D3-4052-948E-AAC9394D0C45
10270,102701101,CIRCUIT BREAKER,ORLAND B_1101/2,F765DD6A-BFAE-43F0-8DAE-3BB0D83A2C48
10270,102701102,CIRCUIT BREAKER,ORLAND B_1102/2,3F20E9B1-B2E0-4C00-B097-070355AFA900
10270,102701103,CIRCUIT BREAKER,ORLAND B_1103/2,2DF215A3-D8A1-42DB-ACEF-8E7190727F81
10274,102741103,CIRCUIT BREAKER,WILLOWS A_1103/2,CF5C0383-B1B7-4499-A9C7-A492FAB9FFD9
10274,102741101,CIRCUIT BREAKER,WILLOWS A_1101/2,17C551BB-88C8-4199-87E9-BF78B1B1100F
10274,102741104,CIRCUIT BREAKER,WILLOWS A_1104/2,D6896C40-AE80-4EF8-B5A7-B2BA50BA3310
10278,102781101,CIRCUIT BREAKER,ELK CREEK_1101/2,82AE5EC2-8131-416D-836C-BFA32286A514
10281,102812101,CIRCUIT BREAKER,BIG MEADOWS_2101/2,919381D8-330A-4503-A232-CDF93F0F8767
10283,102831101,CIRCUIT BREAKER,PARADISE_1101/2,BE9F713D-DD49-47CD-B3C0-A3F488AD3586
10283,102831104,CIRCUIT BREAKER,PARADISE_1104/2,E2EA901E-8298-4874-8B1B-2749569DD1BF
10283,102831102,CIRCUIT BREAKER,PARADISE_1102/2,DFA92B6F-9F39-4CC2-9C08-A2685D2BC8C8
10283,102831105,CIRCUIT BREAKER,PARADISE_1105/2,F1082DAA-279E-4B24-B1FB-8A7B4202C2CA
10283,102831103,CIRCUIT BREAKER,PARADISE_1103/2,F09D7AE9-096A-4278-A242-9BDC4D50088B
10283,102831106,CIRCUIT BREAKER,PARADISE_1106/2,22658B5B-B6A0-4322-AEF2-1C4ADD08F0C5
10284,102841102,CIRCUIT BREAKER,ANITA_1102/2,BA033487-71E2-41CE-A1C3-12425D49F090
10284,102841105,CIRCUIT BREAKER,ANITA_1105/2,4EE7D24B-C259-4B73-ABDB-E426609BBE4C
10284,102841106,CIRCUIT BREAKER,ANITA_1106/2,257458FF-AD45-4F1C-AB7D-932D27DF3533
10284,102841101,CIRCUIT BREAKER,ANITA_1101/2,B14F8BA9-ECFF-40AA-8D83-FBE26CC24C62
10285,102851101,CIRCUIT BREAKER,JACINTO_1101/2,52DF024D-77E6-4893-AE40-43C7D3F054D7
10285,102851102,CIRCUIT BREAKER,JACINTO_1102/2,B6186A29-A157-4BB5-B86A-960DEB1ABC74
10291,102911102,CIRCUIT BREAKER,WYANDOTTE_1102/2,FF73163F-85C1-482D-B8EF-00CFCBE8E36B
10291,102911105,CIRCUIT BREAKER,WYANDOTTE_1105/2,8B388E4B-B6DC-46A5-8D1A-8D7CD78F799D
10291,102911103,CIRCUIT BREAKER,WYANDOTTE_1103/2,D32B5EA1-656B-4E44-BBA3-9BF9EFABE94F
10291,102911106,CIRCUIT BREAKER,WYANDOTTE_1106/2,F2C62FCB-A59A-4D30-8681-7C45891BA357
10291,102911109,CIRCUIT BREAKER,WYANDOTTE_1109/2,545A57E0-F157-487B-8AA6-66DD5228CCEC
10291,102911107,CIRCUIT BREAKER,WYANDOTTE_1107/2,97AEE908-547E-4BD7-8924-713704A977E0
10291,102911110,CIRCUIT BREAKER,WYANDOTTE_1110/2,9D9DAF9A-800D-4D96-AB75-A74B0D4C7B80
10293,102931101,CIRCUIT BREAKER,COTTONWOOD_1101/2,4EB5F180-E9E5-4123-BD1A-EDA5C1FD990E
10293,102931102,CIRCUIT BREAKER,COTTONWOOD_1102/2,D2887A93-8E6D-4C94-A327-0E9200F34B38
10293,102931103,CIRCUIT BREAKER,COTTONWOOD_1103/2,B46F8B63-B31D-40AD-9B3D-5938D5749613
10297,102971107,CIRCUIT BREAKER,SYCAMORE CREEK_1107/2,CB32210C-99BE-4549-AED7-38CC4C111BE8
10297,102971110,CIRCUIT BREAKER,SYCAMORE CREEK_1110/2,3B19E3F6-C66B-4694-9381-0B80F3B7C764
10297,102971101,CIRCUIT BREAKER,SYCAMORE CREEK_1101/2,32DAEF1A-9E58-4C60-93B1-4B441EBBFD13
10297,102971111,CIRCUIT BREAKER,SYCAMORE CREEK_1111/2,2E0390AA-D4A5-4F76-AE62-D30BD47323F5
10297,102971104,CIRCUIT BREAKER,SYCAMORE CREEK_1104/2,E1E07F10-FABF-4706-B838-76E93D5E1517
10297,102971102,CIRCUIT BREAKER,SYCAMORE CREEK_1102/2,3E345190-AB65-44AE-8469-4C52D09B5BC8
10297,102971105,CIRCUIT BREAKER,SYCAMORE CREEK_1105/2,496DE9C6-CC5A-481F-9ECC-D6F9AF0D9489
10297,102971103,CIRCUIT BREAKER,SYCAMORE CREEK_1103/2,3A3CCD24-3E91-4E20-ACD7-1924A66EA5AE
10297,102971109,CIRCUIT BREAKER,SYCAMORE CREEK_1109/2,103755C1-CFC5-4929-B3E6-6BD1719E3EA0
10302,103021101,CIRCUIT BREAKER,GANSNER_1101/2,FC7D411E-6535-4215-8BDF-0B83235847E5
