NETWORKID,MONTH,YEAR,TIME,KW PEAK TOTAL,KW PROJECTED
182291101,January,2017,1700,4864.81,4864.81
182291101,February,2017,1700,4773.84,4773.84
182291101,March,2017,1700,4252.71,4252.71
182291101,April,2017,1700,4220.49,4220.49
182291101,May,2017,1700,4154.66,4154.66
182291101,June,2017,1700,4223.34,4223.34
182291101,July,2017,1700,4524.74,4524.74
182291101,August,2017,1700,4658.6,4658.6
182291101,September,2017,1700,4388.01,4388.01
182291101,October,2017,1700,4459.85,4459.85
182291101,November,2017,1700,5068.41,5068.41
182291101,December,2017,1700,5410.69,5410.69
182291102,January,2017,1700,5391.04,5391.04
182291102,February,2017,1700,5491.33,5491.33
182291102,March,2017,1700,5184.16,5184.16
182291102,April,2017,1700,5280.9,5280.9
182291102,May,2017,1700,5003.89,5003.89
182291102,June,2017,1700,5013.07,5013.07
182291102,July,2017,1700,5120.14,5120.14
182291102,August,2017,1700,5527.8,5527.8
182291102,September,2017,1700,5521.53,5521.53
182291102,October,2017,1700,5197.79,5197.79
182291102,November,2017,1700,5269.24,5269.24
182291102,December,2017,1700,5834,5834
182371111,January,2017,1700,2716.48,2716.48
182371111,February,2017,1700,2750.63,2750.63
182371111,March,2017,1700,2454.21,2454.21
182371111,April,2017,1700,2406.19,2406.19
182371111,May,2017,1700,2172.97,2172.97
182371111,June,2017,1700,2139.56,2139.56
182371111,July,2017,1700,2255.8,2255.8
182371111,August,2017,1700,2436.31,2436.31
182371111,September,2017,1700,2376.88,2376.88
182371111,October,2017,1700,2477.2,2477.2
182371111,November,2017,1700,2801.48,2801.48
182371111,December,2017,1700,3240.83,3240.83
182371112,January,2017,1700,3456.45,3456.45
182371112,February,2017,1700,3388.18,3388.18
182371112,March,2017,1700,3078.87,3078.87
182371112,April,2017,1700,2995.76,2995.76
182371112,May,2017,1700,2798.03,2798.03
182371112,June,2017,1700,2738.54,2738.54
182371112,July,2017,1700,2765.3,2765.3
182371112,August,2017,1700,3004.83,3004.83
182371112,September,2017,1700,2934.09,2934.09
182371112,October,2017,1700,3027.5,3027.5
182371112,November,2017,1700,3428.71,3428.71
182371112,December,2017,1700,3854.36,3854.36
182941101,January,2017,1700,1038.97,1038.97
182941101,February,2017,1700,1033.58,1033.58
182941101,March,2017,1700,907.93,907.93
182941101,April,2017,1700,878.09,878.09
182941101,May,2017,1700,948.26,948.26
182941101,June,2017,1700,994.51,994.51
182941101,July,2017,1700,1019.81,1019.81
182941101,August,2017,1700,1091.8,1091.8
182941101,September,2017,1700,1029.44,1029.44
182941101,October,2017,1700,1050.44,1050.44
182941101,November,2017,1700,1224.32,1224.32
182941101,December,2017,1700,1377.96,1377.96
182941102,January,2017,1700,2050.08,2050.08
182941102,February,2017,1700,2180.81,2180.81
182941102,March,2017,1700,2011.45,2011.45
182941102,April,2017,1700,1931.92,1931.92
182941102,May,2017,1700,1921.71,1921.71
182941102,June,2017,1700,1995.73,1995.73
182941102,July,2017,1700,2012.56,2012.56
182941102,August,2017,1700,2121.1,2121.1
182941102,September,2017,1700,1973.53,1973.53
182941102,October,2017,1700,2017.82,2017.82
182941102,November,2017,1700,2099.79,2099.79
182941102,December,2017,1700,2217.79,2217.79
182070401,January,2017,1700,2166.67,2166.67
182070401,February,2017,1700,2121.76,2121.76
182070401,March,2017,1700,2217.05,2217.05
182070401,April,2017,1700,2220.19,2220.19
182070401,May,2017,1700,2237.1,2237.1
182070401,June,2017,1700,2176.15,2176.15
182070401,July,2017,1700,2140.63,2140.63
182070401,August,2017,1700,2231.16,2231.16
182070401,September,2017,1700,2208.59,2208.59
182070401,October,2017,1700,2171.51,2171.51
182070401,November,2017,1700,2241.79,2241.79
182070401,December,2017,1700,2311.42,2311.42
182071101,January,2017,1700,4140.49,4140.49
182071101,February,2017,1700,3707.88,3707.88
182071101,March,2017,1700,4558.69,4558.69
182071101,April,2017,1700,5093.35,5093.35
182071101,May,2017,1700,5366.37,5366.37
182071101,June,2017,1700,6235.52,6235.52
182071101,July,2017,1700,7224.8,7224.8
182071101,August,2017,1700,7143.17,7143.17
182071101,September,2017,1700,6331.03,6331.03
182071101,October,2017,1700,5750.43,5750.43
182071101,November,2017,1700,3972.2,3972.2
182071101,December,2017,1700,4585.12,4585.12
182131101,January,2017,1700,3779.09,3779.09
182131101,February,2017,1700,3746.43,3746.43
182131101,March,2017,1700,3971.85,3971.85
182131101,April,2017,1700,4544.45,4544.45
182131101,May,2017,1700,4667.13,4667.13
182131101,June,2017,1700,4647.69,4647.69
182131101,July,2017,1700,5108.11,5108.11
182131101,August,2017,1700,5337.5,5337.5
182131101,September,2017,1700,4928.06,4928.06
182131101,October,2017,1700,4393.32,4393.32
182131101,November,2017,1700,3783.86,3783.86
182131101,December,2017,1700,4359.92,4359.92
182131102,January,2017,1700,508.62,508.62
182131102,February,2017,1700,657.34,657.34
182131102,March,2017,1700,703.62,703.62
182131102,April,2017,1700,666.34,666.34
182131102,May,2017,1700,700.37,700.37
182131102,June,2017,1700,767.92,767.92
182131102,July,2017,1700,761.03,761.03
182131102,August,2017,1700,722.99,722.99
182131102,September,2017,1700,829.3,829.3
182131102,October,2017,1700,628.18,628.18
182131102,November,2017,1700,517.33,517.33
182131102,December,2017,1700,550.54,550.54
182131103,January,2017,1700,3115,3115
182131103,February,2017,1700,3214.95,3214.95
182131103,March,2017,1700,3437.19,3437.19
182131103,April,2017,1700,5297.19,5297.19
182131103,May,2017,1700,5890.16,5890.16
182131103,June,2017,1700,6364.34,6364.34
182131103,July,2017,1700,6015.98,6015.98
182131103,August,2017,1700,8128.78,8128.78
182131103,September,2017,1700,8531.4,8531.4
182131103,October,2017,1700,7279.72,7279.72
182131103,November,2017,1700,5785.87,5785.87
182131103,December,2017,1700,4475.63,4475.63
