WORDSPACING,WordSpacing
HISTGEMSMAPNUM,Hist GEMS Map #
VERSIONNAME,VersionName
GENERATOR,Generator
STABILIZINGBANKIDC,Stabilizing Bank Indicator
WIDTH,Width
HIGHSIDEVOLTAGE,Hi Side Voltage
OPENPOINT,Open Point
DEVICETYPE,Device Type
STREETLIGHTSEQNO,Street Light Sequence Number
OPENQUIPCODE,Open Equipment Code
DIFFRS,DIFF RS
FIXTUREMANUFACTURER,Fixture Manufacturer
DIRECTION,Direction
METERRATING,Meter Rating
DISCONNECTIDC,Disconnect Indicator
TRANSMISSIONMILENUMBER,Transmission Mile Number
LAMPTYPE,Lamp Type
ORIGINALCIRCUMFERENCE,Original Circumference
SERVICEAGREEMENTID,Service Agreement ID
WINDSPEEDRERATEYEAR,Wind Speed Rerate Year
RATING,Rating
ACCOUNTNUMBER,Account Number
PCELLCHANGEDATE,Photo Cell Change Date
CONDUCTORUSE,Conductor Use
ANCHORTYPE,Anchor Type
STRUCTURETYPE,Structure Type
SYMBOLROTATION,Symbol Rotation 
TEMPEQUIPID,Temporary Equipment ID
PTTDIDC,PTTDIDC
SERIESIMPEDIENCE,Series Impedience
CCRATING,CC Rating
RATEDAMPS,Rated Amps
JPASEQUENCE,JPA Sequence
LOCALOPOFFICE,Local Operating Office
SWITCHPOSITION,Switch Position
CUSTAGREEMENTGUID,Customer Agreement GUID
HORIZONTALALIGNMENT,HorizontalAlignment
DAILYLOADFACTOR,Daily Load Factor
SUBWAYIDC,Subway Transformer Indicator
HIGHSIDECONFIGURATION,High Side Configuration
CCBOVERWRITEFLAG,CCB Overwrite Flag
PARTNUMBER,Part Number
INVENTORYDATE,Inventory Date
SUPERVISORYCONTROLIDC,SCADA Indicator
TEXTSTRING,TextString
FMETRICOM,FMETRICOM
CUSTOMERAGREEMENTGUID,Customer Agreement GUID
TIESWITCHIDC,Tie Switch Indicator
ANCHORSIZE,Anchor Size
PAINTPOLE,Paint Pole
UNITKVAR,Unit KVAR
INVENTORYNO,Inventory Number
DATECREATED,Date Created
OPERATINGSTATUS,Operating Status
OWNERNAME,Owner Name
DUCTSFILLED,# of Occupied Ducts
JPAGREEMENTDATE,JP Agreement Date
FONTNAME,FontName
BACKFILLMATERIAL,Backfill Material
ZORDER,ZOrder
BALLASTCHANGEDATE,Ballast Change Date
LIGHTSTYLE,Light Style
STRUCTURENUMBER,Structure Number
OWNERBADGENUMBER,Owner Badge Number
AGREEMENTTYPE,Agreement Type
CEDSALINESECTIONID,CEDSA Line Section ID
SERIALNUMBER,Serial Number
NORMALPOSITIONC,Normal Position C
NORMALPOSITIONB,Normal Position B
NORMALPOSITIONA,Normal Position A
SWITCHFILLTYPE,Switch Fill Type
ITEMTYPECODE,Item Type Code
GPSLATITUDE,Latitude
OWNERUSERID,OwnerUserID
JOINTTRENCH,Joint Trench
LENGTHSOURCE,Length Source
REVERSEPOWERFLOW,Reverse Power Flow
CAPACITY,Capacity
MANUFACTUREDYEAR,Manufactured Year
WATTAGE,Wattage
EXTERNALOPERATINGCODE,External Operating Code
STREETLIGHTNUMBER,Street Light Number
PGE_CONDUCTORCODE,CEDSA Conductor Code
TIMECONTROLIDC,Time Control Indicator
MCRATING,MC Rating
CONNECTIONCONFIGURATION,Connection Configuration
NORMALPOSITION_A,Normal Position A
STITCHPOINTID,Stitch Point ID
NORMALPOSITION_C,Normal Position C
ELEMENT,Element
GENERATORNAME,Generator Name
BALLASTTYPE,Ballast Type
METERIDC,Meter Indicator
CONDUCTORSIZE,Conductor Size
DISTRICT,District
FOREIGNATTACHIDC,Foreign Attachment Indicator
MINUTETOTAL,Minute Total
MAILZIP,Mail ZIP 
YEARMANUFACTURED,Year Manufactured
BYPASSPLANS,Bypass Plans
INTERRUPTERIDC,Interrupter Indicator
CONNECTIONCODE,Connection Code
OUTAGEID,Outage ID
MATERIAL,Material
BYPASSPOSITION,Bypass Position
OUTPUTVOLTAGE,Output Voltage
SPLICETYPE,Splice Type
ALTNM,ALTNM
SUBBANKGUID,Sub Bank GUID
SHAPE.AREA,SHAPE.AREA
SPECIES,Species
BATTERYDATE,Battery Date
DIFFIX,DIFF IX
DIFFIT,DIFF IT
LOCKOUTOPS,Lockout Ops
FONTSIZE,FontSize
SUSPENSION,Suspension
INSULATION,Insulation
MAINTNOTE,Maintenance Note
FUSEIDC,Fuse Indicator
HALFHRADJTYPE,Half HR Adj Type
USERID,User ID
UNITPHASE,UnitPhase
FAR5,FAR5
FAR4,FAR4
FAR1,FAR1
FAR3,FAR3
FAR2,FAR2
JPADATE,JP Agreement Date
CONDUCTORCOUNT,Conductor Count
BUCKPERCENT,Buck Percent
LOCDESC,Address
OKTOBYPASS,OK to Bypass
EXPIREDATE,ExpiredDate
GEMSCIRCUITMAPNUM,GEMS Circuit Map #
POLEPAINTDATE,Pole Paint Date
FEEDERNAME,Feeder Name
ONLINESTATUS,Online Status
MAXINTERRUPTINGCURRENT,Maximum Interrupting Current
STRUCTUREGUID,Structure GUID
PTRATIO,Potential Transformer Ratio
REMOTEREADIDC,Remote Read Indicator
XOFFSET,XOffset
MAILSTATE,Mail State
SHIELDINGIDC,Shielding Indicator
ZIP,ZIP Code
CEDSANUMBEROFPHASES,CEDSA Number Of Phases
COASTALIDC,Coastal Indicator
AGREEMENTNUM,Agreement Number
MANUFACTURER,Manufacturer
SYMBOLNUMBER,Symbol Number
AUTOMANUAL,Auto Manual
CUSTOMEROWNED,Customer Owned
CONVCIRCUITID2,Conversion Circuit ID2
ITALIC,Italic
INSTALLATIONTYPE,Installation Type
SERVICETYPE,Service Type
MANUALLYOPERATED,Manually Operated
DISTRIBUTIONPLANNINGAREA,Distribution Planning Area
ELECTRICTRACEWEIGHT,Electric Trace Weight
ACTUATINGCURRENT,Actuating Current
DUCTSVACANT,# of Vacant Ducts
FAILEDEQUIPID,Failed Equipment ID
OTHERMAP,Other Map
RATESCHEDULE,Rate Schedule
JOINTCOUNT,Joint Count
ORIGINALTREATMENTTYPE,Original Treatment Type
REGULATEDOUTPUTIDC,Regulated Output Indicator
PREMISEID,Premise ID
SWITCHEDWITHVARSENSORIDC,Switched w/VAR Sensor
SYMBOLID,SymbolID
LOADBREAK,Load Break
FIXTURECODE,Fixture Code
JP_DISTRICT,Joint Pole District
CONSTRUCTIONTYPE,Construction Type
MOUNTINGTYPE,Mounting Type
LEAD,Lead
DMSFEEDERID,DMS Circuit ID
AMPRATING,Amp Rating
SEASONOFF,Season Off
RELAYCONTROLOBJECTID,Relay Control ObjectID
CARRIER,Carrier
RECLOSEBLOCKIDC,Reclose Block IDC
AUTOBOOSTER,Auto Booster
STREETLIGHTSGISID,Streetlight GIS ID
ANIMALGUARDTYPE,Animal Guards
CUSTOMERTYPE,Customer Type
LINKRATING,Link Rating
URBANRURALCODE,Urban Rural Indicator
CGC12,CGC Number
CURRENTCIRCUMFERENCE,Current Circumference
GROUNDEDIDC,Grounded Indicator
TRANSMISSIONSTRUCTNUMBER,Transmission Structure Number
SUBBANKCONVID,Sub Bank ConvID
CONFIGURATION,Configuration
MEASUREDLENGTH,Measured Length
INTERRUPTINGMEDIUM,Interrupting Medium
LABELTEXT,Label Text
TOTALCUSTOMERMINUTES,Total Customer Minutes
SINGLELINEDRAWINGNUM,Single Line Drawing Number
NEUTRALSIZE,Neutral Size
METERID,Meter ID
LOCDESC3,Location Description 3
POWERFACTOR,Power Factor
RATEDKVA,Rated KVA
FAROTHER,FAR Other
OUTPUTREPORTNUM,Output Report Number
DISTMAP,Distribution Map
EXTERNALOPERATORCODE,External Operator Code
KW,kW
SECTIONALIZINGFEATURE,Sectionalizing Feature
ZHLPCTIMP,ZHL % Imp
HISTGEMSMAPRATE,Hist GEMS Map Rate
FUSED,Fused
CONTROLBASEVOLTAGESETTING,Control Base Voltage Setting
BYPASSSWITCH,Bypass Switch
GANGOPERATED,Gang Operated
ZTPCTIMP,ZT % Imp
SERVICEADDRESS2,Service Address 2
SERVICEADDRESS1,Service Address
RECTIFIERTYPE,Rectifier Type
CONVIENENCEOUTLETS,Convienence Outlets
CALTRANSPERMITIDC,CalTrans Permit
MULTIFUNCTIONALIDC,Multi-Functional Device Indicator
OBJECTID,Object ID
EMERGENCYONLY,Emergency Only
FEATUREID,FeatureID
VOLTAGE,Voltage
STREETLIGHTROLE,Streetlight Role
OPERATINGAS,Operating As
CLASS,Pole Class
NEARESTST,Nearest Street
DIVISION,Division
CIRCUITID2,Circuit ID 2
INSTALLJOBPREFIX,Job Prefix
HEIGHT,Pole Height
LOCATIONDESC,Location Description
PHASEDESIGNATION,Phase Designation
CITY,City
GLOBALID_1,GLOBALID_1
COMPLEXDEVICEIDC,Complex Device
SPITEMHISTORY,SP Item History
AUTOIDC,Auto Transformer Indicator
FAULTDUTY,Fault Duty
JPSEQUENCE,Joint Pole Sequence
LASTMODIFYDATE,Last Modified Date
INSTALLJOBYEAR,Year Installed
LOCDESC2,Location Description 2
FAULTINDICATORYEARINST,Fault Indicator Year Installed
OFFICECODE,Office Code
SUBTYPECD,Subtype
STATIONNUMBER,Station Number
STREET,Street
NAMEOFCOGENERATOR,Generator Name
RECEIVEDATE,Receive Date
WINDSPEEDCODE,Wind Speed Code
UGASTATUSVERIFIEDBY,UGA Status Verified By
TYPECODE,Type Code
OPERATINGVOLTAGE,Operating Voltage
SUPPLEMENTALCAUSE,Supplemental Cause
DATEMODIFIED,Date Modified
SAPEQUIPID,SAP Equipment ID
LOCDESC1,Location Description 1
GRDMINTOCT,GrdMin To CT
SOURCESIDEDEVICEID,Source Side Device ID
FITYPE,Fault Indicator Type
VACANTIDC,Ducts Vacant?
INSTALLCODE,Install Code
GLOBALID,Global ID
FAPPLIANCE1,FAPPLIANCE1
ZGBPCTIMP,ZGB % Imp
LINKTYPE,Link Type
GUYCOUNT,Guy Count
REGION,Service Area
JACKETTYPE,Jacket Type
