ObjectClassRo,SubtypeRo,FieldRo,DatasetRo,SubtypeCodeRo,FieldAliasRo,Index,mmFSVisible,mmFSEditable,mmFSAllowNulls,mmFSAllowMassAttributeUpdate,DefaultValueRo
EDGIS.PGEDATAMODELVERSION,<None>,MODELVERSION,Root,-1,MODELVERSION,0,TRUE,TRUE,TRUE,FALSE,
EDGIS.PGEDATAMODELVERSION,<None>,APPLIEDBYPERSONNAME,Root,-1,APPLIEDBYPERSONNAME,1,TRUE,TRUE,TRUE,FALSE,
EDGIS.PGEDATAMODELVERSION,<None>,DATEAPPLIED,Root,-1,DATEAPPLIED,2,TRUE,TRUE,TRUE,FALSE,
EDGIS.PGEDATAMODELVERSION,<None>,CURRENTIDC,Root,-1,CURRENTIDC,3,TRUE,TRUE,TRUE,FALSE,
EDGIS.PGEDATAMODELVERSION,<None>,OBJECTID,Root,-1,OBJECTID,4,TRUE,FALSE,FALSE,FALSE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,OBJECTID,Root,-1,OBJECTID,0,TRUE,FALSE,FALSE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,MAPNUMBER,Root,-1,MAPNUMBER,1,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,MAPDIVISION,Root,-1,MAPDIVISION,2,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,MAPDISTRICT,Root,-1,MAPDISTRICT,3,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,LONG_MIN,Root,-1,LONG_MIN,4,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,LAT_MIN,Root,-1,LAT_MIN,5,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,LONG_MAX,Root,-1,LONG_MAX,6,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,LAT_MAX,Root,-1,LAT_MAX,7,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,MAPSCALE,Root,-1,MAPSCALE,8,TRUE,TRUE,TRUE,TRUE,
EDGIS.PGE_UNIFIEDGRIDMAP,<None>,LASTMODIFIEDDATE,Root,-1,LASTMODIFIEDDATE,9,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,<None>,OBJECTID,Root,-1,OBJECTID,0,FALSE,FALSE,FALSE,FALSE,
EDGIS.DuctDefinition,<None>,SUBTYPECD,Root,-1,Subtype,1,TRUE,FALSE,FALSE,FALSE,2
EDGIS.DuctDefinition,<None>,DUCTID,Root,-1,Duct ID,2,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,DUCTSIZE,Root,-1,Draw Size,3,TRUE,TRUE,TRUE,FALSE,5
EDGIS.DuctDefinition,<None>,ACTUALSIZE,Root,-1,Actual Size,4,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,DUCTSHAPE,Root,-1,Duct Shape,5,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,<None>,MATERIAL,Root,-1,Material,6,TRUE,TRUE,TRUE,FALSE,
EDGIS.DuctDefinition,<None>,BYPASS,Root,-1,Bypass,7,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,<None>,AVAILABLE,Root,-1,Availability Indicator,8,FALSE,TRUE,TRUE,FALSE,1
EDGIS.DuctDefinition,<None>,CONDITION,Root,-1,Condition,9,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,<None>,FIBEROPTICIDC,Root,-1,Fiber Optic Indicator,10,TRUE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,VENTIDC,Root,-1,Vent Indicator,11,TRUE,TRUE,TRUE,TRUE,
EDGIS.DuctDefinition,<None>,TELCOIDC,Root,-1,Telco Indicator,12,TRUE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,GASLINEIDC,Root,-1,Gas Line Indicator,13,TRUE,TRUE,TRUE,TRUE,0
EDGIS.DuctDefinition,<None>,SCADAIDC,Root,-1,SCADA Indicator,14,TRUE,TRUE,TRUE,TRUE,0
