ObjectClassRo,SubtypeRo,FieldRo,DatasetRo,SubtypeCodeRo,FieldAliasRo,Index,mmFSVisible,mmFSEditable,mmFSAllowNulls,mmFSAllowMassAttributeUpdate,DefaultValueRo
EDGIS.SupportStructure,<None>,OBJECTID,EDGIS.ElectricDataset,-1,Object ID,0,TRUE,FALSE,FALSE,FALSE,
EDGIS.SupportStructure,<None>,LOCALOFFICEID,EDGIS.ElectricDataset,-1,Local Office ID,1,TRUE,TRUE,FALSE,TRUE,
EDGIS.SupportStructure,<None>,SUBTYPECD,EDGIS.ElectricDataset,-1,Subtype,2,TRUE,TRUE,FALSE,FALSE,1
EDGIS.SupportStructure,<None>,STATUS,EDGIS.ElectricDataset,-1,Status,3,TRUE,TRUE,FALSE,TRUE,5
EDGIS.SupportStructure,<None>,INSTALLJOBPREFIX,EDGIS.ElectricDataset,-1,Job Prefix,4,TRUE,TRUE,TRUE,FALSE,PM
EDGIS.SupportStructure,<None>,INSTALLJOBNUMBER,EDGIS.ElectricDataset,-1,Job Number,5,TRUE,TRUE,FALSE,TRUE,0
EDGIS.SupportStructure,<None>,INSTALLJOBYEAR,EDGIS.ElectricDataset,-1,Year Installed,6,TRUE,TRUE,TRUE,FALSE,
EDGIS.SupportStructure,<None>,INSTALLATIONDATE,EDGIS.ElectricDataset,-1,Date Installed,7,TRUE,TRUE,TRUE,TRUE,
EDGIS.SupportStructure,<None>,COMMENTS,EDGIS.ElectricDataset,-1,Comments,8,TRUE,TRUE,TRUE,FALSE,
EDGIS.SupportStructure,<None>,LOCDESC1,EDGIS.ElectricDataset,-1,Location Description 1,9,TRUE,TRUE,TRUE,FALSE,
EDGIS.SupportStructure,<None>,LOCDESC2,EDGIS.ElectricDataset,-1,Location Description 2,10,TRUE,TRUE,TRUE,FALSE,
EDGIS.SupportStructure,<None>,LOCDESC3,EDGIS.ElectricDataset,-1,Location Description 3,11,FALSE,TRUE,TRUE,FALSE,
EDGIS.SupportStructure,<None>,SAPEQUIPID,EDGIS.ElectricDataset,-1,SAP Equipment ID,12,TRUE,FALSE,TRUE,FALSE,
