Source_host,Target_Host,Port,Env,ServerType
All Servers |UDN,PREDGISDBOLG001,1521,PROD,Database
All Servers |UDN,PREDGISDBOLG003,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG005,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG007,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG001,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG003,1521,PROD,Database
All Servers |UDN,PRLBGISDBOLG001,1521,PROD,Database
All Servers |UDN,PRLBGMDBOLG001,1521,PROD,Database
All Servers |UDN,PRLBGMDBOLG003,1521,PROD,Database
All Servers |UDN,PREDGISDBOLG002,1521,PROD,Database
All Servers |UDN,PREDGISDBOLG004,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG006,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG008,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG002,1521,PROD,Database
All Servers |UDN,PREDGMDBOLG004,1521,PROD,Database
All Servers |UDN,PRLBGISDBOLG002,1521,PROD,Database
All Servers |UDN,PRLBGMDBOLG002,1521,PROD,Database
All Servers |UDN,PRLBGMDBOLG004,1521,PROD,Database
All Servers |UDN,PRITGMLICWG001,27000;27001;29001,PROD,License
All Servers |UDN,PRITGMLICWG003,27000;27001;29001,PROD,License
All Servers |UDN,PRITGMLICWG002,27000;27001;29001,PROD,License
All Servers |UDN,PRITGMLICWG004,27000;27001;29001,PROD,License
All Servers,PRITGMCHFWX001,443,PROD,Chef
All Servers,PRLBGMAPPWG001,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG003,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG005,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG007,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG009,6080;6443,PROD,Application
All Servers,PREDGMAPPWG001,6080;6443,PROD,Application
All Servers,PREDGMAPPWG003,6080;6443,PROD,Application
All Servers,PREDGMAPPWG005,6080;6443,PROD,Application
All Servers,PREDGMAPPWG007,6080;6443,PROD,Application
All Servers,PREDGMAPPWG009,6080;6443,PROD,Application
All Servers,PREDGMAPPWG011,6080;6443,PROD,Application
All Servers,PREDGMAPPWG013,6080;6443,PROD,Application
All Servers,PREDGMAPPWG015,6080;6443,PROD,Application
All Servers,PREDGMAPPWG017,6080;6443,PROD,Application
All Servers,PREDGMAPPWG019,6080;6443,PROD,Application
All Servers,PREDGMAPPWG021,6080;6443,PROD,Application
All Servers,PREDGMAPPWG023,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG002,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG004,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG006,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG008,6080;6443,PROD,Application
All Servers,PRLBGMAPPWG010,6080;6443,PROD,Application
All Servers,PREDGMAPPWG002,6080;6443,PROD,Application
All Servers,PREDGMAPPWG004,6080;6443,PROD,Application
All Servers,PREDGMAPPWG006,6080;6443,PROD,Application
All Servers,PREDGMAPPWG008,6080;6443,PROD,Application
All Servers,PREDGMAPPWG010,6080;6443,PROD,Application
All Servers,PREDGMAPPWG012,6080;6443,PROD,Application
All Servers,PREDGMAPPWG014,6080;6443,PROD,Application
All Servers,PREDGMAPPWG016,6080;6443,PROD,Application
All Servers,PREDGMAPPWG018,6080;6443,PROD,Application
All Servers,PREDGMAPPWG020,6080;6443,PROD,Application
All Servers,PREDGMAPPWG022,6080;6443,PROD,Application
All Servers,PREDGMAPPWG024,6080;6443,PROD,Application
UDN,PRITGMMONWG001,443,PROD,ArcGIS Monitor
UDN,PRITGMMONWG003,443,PROD,ArcGIS Monitor
UDN,PRITGMMONWG005,443,PROD,ArcGIS Monitor
UDN,PRITGMMONWG002,443,PROD,ArcGIS Monitor
UDN,PRITGMMONWG004,443,PROD,ArcGIS Monitor
UDN,PRITGMMONWG006,443,PROD,ArcGIS Monitor
